"Project ID","Project Name","Project Status","Construction Status","Plannning Approval Address","Zip Code","Block","Lot","Supervisor District","City Analysis Neighborhood","Planning Neighborhood","Lead Agency","General Housing Program","Specific Program Area","Multiphase or Multisite Project Name","Redevelopment Project Area","Project Type","Housing Tenure","SSP Acquisition Date","Issuance of Notice to Proceed Date","Issuance of Building Permit Date","Issuance of First Construction Document Date","Estimated/Actual Construction Start Date","Estimated Construction Completion Date","Project Lead Sponsor","Project Co-Sponsor","Project Owner","Planning  Case Number","Planning Entitlements","Entitlement Approval Date","Section 415 Declaration","Total Project Units","MOHCD Affordable Units","% Affordable","SRO Units","Studio Units","1bd Units","2bd Units","3bd Units","4bd Units","5+ bd Units","Mobility Units","Family Units","Senior Units","TAY Units","Homeless Units","Disabled Units","LOSP Units","Public Housing Replacement Units","20% AMI","30% AMI","40% AMi","50% AMI","55% AMI","60% AMI","80% AMI","90% AMI","100% AMI","105% AMI","110% AMI","120% AMI","130% AMI","150% AMI","AMI Undeclared","Latitude","Longitude","Location"
"2016-100","HPSY II-CP, Block 4B","Pre-Construction","(0) Multiphase Project before Predevelopment","Multiphase Project Address not Assigned","94124",,,"10","Bayview Hunters Point","Bayview","OCII","MOHCD 100% Affordable (New Development)","Multifamily Rental Program","Hunters Point Ship Yard II/Candlestick Point","Candlestick Point","New Construction","Rental",,"12/01/2031",,,"12/01/2031",,"Multiphase Project Sponsor not Assigned","Multiphase Project Sponsor not Assigned","Multiphase Project Owner not Assigned","Not Applicable",,,,"90","89","99","0","0","0","0","0","0","0","0","89","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","89","37.72873834","-122.365806","(37.72873834, -122.365806)"
"2018-008","600 Van Ness","Construction","(4) Site Work Permit Issued","600 Van Ness Ave","94102","763","006, 007, 008, 009","5","Tenderloin","Downtown/Civic Center","MOHCD","Inclusionary Housing","Inclusionary Housing Program",,"Not in an OCII Project Area","New Construction","Rental",,,"12/03/2018",,,,"Reuben, Junius & Rose, LLP",,,"2015-012729PRJ","2015-012729CUA,2015-012729ENV,2015-012729PPA,2015-012729SHD,2015-012729TDM","05/24/2018","On-site BMR Project","168","24","14","0","11","8","5","0","0","0","0","24","0","0","0","0","0","0","0","0","0","0","24","0","0","0","0","0","0","0","0","0","0","37.78132047","-122.4201999","(37.78132047, -122.4201999)"
"2017-024","980 Folsom","Construction","(4) Site Work Permit Issued","980 Folsom St","94103","3732","028, 035, 152","6","South of Market","South of Market","MOHCD","Inclusionary Housing","Inclusionary Housing Program",,"Not in an OCII Project Area","New Construction","Ownership",,,"02/27/2019",,,,"Goldman Architecture",,,"2013.0977","2013.0977E,2013.0977ENX,2013.0977PPA,2013.0977SHD,2013.0977TDM,2013.0977U","10/05/2017","On-site BMR Project","33","4","12","0","0","2","2","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","37.77901603","-122.4052965","(37.77901603, -122.4052965)"
"2020-019","Balboa Reservoir Building A","Construction","(4) Site Work Permit Issued","105 Wisteria Lane","94112",,,"7","West of Twin Peaks","West of Twin Peaks","MOHCD","MOHCD 100% Affordable (New Development)","Multifamily Rental Program","Balboa Reservoir","Not in an OCII Project Area","New Construction","Rental",,"04/30/2026",,,"05/01/2025",,"BRIDGE Housing",,"Balboa Gateway L.P.","2018-007883PHA-07",,,,"159","158","99","0","17","46","53","41","0","0","16","157","0","0","0","0","0","0","0","0","40","0","0","39","78","0","0","0","0","0","0","0","0","37.72553","-122.4539185","(37.72553, -122.4539185)"
"2025-006","1035 Van Ness","Building Rehabilitation (Pre-Construction)","(1) Preliminary Phase","1035 Van Ness Ave","94109","714","28","2","Western Addition","Western Addition","MOHCD/HSH","MOHCD 100% Affordable (Preservation)","HSH Homekey",,"Western Addition-Area 2","Rehabilitation","Rental","07/08/2025",,,"03/09/2026","03/09/2026","01/01/2027","Swords to Plowshares",,"1035Vets, LLC","2025-004242PRJ",,,,"124","124","100","58","66","0","0","0","0","0","19","0","0","0","124","0","58","0","0","124","0","0","0","0","0","0","0","0","0","0","0","0","0","37.78538939","-122.4216114","(37.78538939, -122.4216114)"
"2023-028","4199 Mission","Pre-Construction","(3) Design with Entitlements Approved","4199 Mission St","94112","5869","14","11","Excelsior","Excelsior","MOHCD","Inclusionary Housing","Inclusionary Housing Program",,"Not in an OCII Project Area","New Construction","Ownership",,,,,"07/31/2025",,"4199 Mission Street, LLC",,,"2020-004806PRJ","2020-004806AHB","08/02/2023","On-site BMR Project","40","12","30","0","0","4","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","4","0","0","4","0","0","37.73015195","-122.4294953","(37.73015195, -122.4294953)"
"2016-065","Oscar James Residences","Construction","(5) First Construction Document Issued","151 Friedell St","94124","4591C","043, 044, 047, 048","10","Bayview Hunters Point","Bayview","OCII","MOHCD 100% Affordable (New Development)","Multifamily Rental Program","Hunters Point Ship Yard I","HP Shipyard Phase 1","New Construction","Rental",,"05/25/2023","04/23/2020","03/10/2023","05/25/2023","11/09/2025","Jonathan Rose Companies","Bayview Hunters Point Multipurpose Senior Services","Jonathan Rose Companies","Not Applicable",,"04/04/2023",,"112","110","98","0","0","49","29","23","8","1","18","110","0","0","0","0","0","0","0","4","9","97","0","0","0","0","0","0","0","0","0","0","0","37.72875492","-122.3691114","(37.72875492, -122.3691114)"
"2022-006","2055 Chestnut","Pre-Construction","(3) Design with Entitlements Approved","2055 Chestnut St","94123","491","9","2","Marina","Marina","MOHCD","Inclusionary Housing","Inclusionary Housing Program",,"Not in an OCII Project Area","New Construction","Rental",,,,,"03/22/2024",,"Prado Group",,"The Bruni Company","2018-009081PRJ","2018-009081CUA","03/24/2022","On-site BMR Project","49","9","18","0","0","6","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","2","0","0","2","0","0","0","0","0","37.8002534","-122.4368971","(37.8002534, -122.4368971)"
"1992-008","Larkin Pine Senior Housing","Building Rehabilitation (Construction)","(5) First Construction Document Issued","1303 Larkin St","94109",,,"3","Nob Hill","Nob Hill","MOHCD","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"Not in an OCII Project Area","Rehabilitation","Rental","05/16/1991","12/01/2025",,,"12/20/2025","03/20/2027","Chinatown Community Development Center",,"Chinatown Community Development Center",,,,,"68","62","91","60","0","2","0","0","0","0","0","0","63","0","0","0","0","0","0","0","0","0","0","62","0","0","0","0","0","0","0","0","0","37.79006501","-122.4191589","(37.79006501, -122.4191589)"
"2016-072","651 Geary","Construction","(4) Site Work Permit Issued","651 Geary St","94102","318","20","5","Tenderloin","Downtown/Civic Center","MOHCD","Inclusionary Housing","Inclusionary Housing Program",,"Not in an OCII Project Area","New Construction","Ownership",,,"12/04/2018",,,,"Geary Place LLC",,,"2014.0482","2014.0482C,2014.0482PPA,2014.0482U,2014.0482VAR","07/07/2016","On-site BMR Project","52","6","12","0","1","3","2","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","37.78634415","-122.413901","(37.78634415, -122.413901)"
"2021-027","850 Bush","Pre-Construction","(3) Design with Entitlements Approved","850 Bush St","94108","274","8","3","Nob Hill","Nob Hill","MOHCD","Inclusionary Housing","Inclusionary Housing Program",,"Not in an OCII Project Area","New Construction","Ownership",,,,,,,"Leavitt Architecture, Inc.",,"Double-E, LLC","2015-005983PRJ","2015-005983PRJ","12/16/2021","On-site BMR Project","21","3","14","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","37.79011852","-122.4113061","(37.79011852, -122.4113061)"
"2016-105","CP-02 ""Infield"" Senior","Pre-Construction","(1) Preliminary Phase","Address not yet assigned","94124",,,"10","Bayview Hunters Point","Bayview","OCII","Inclusionary Housing","OCII Inclusionary Rental Program",,"Candlestick Point","New Construction","Rental",,"09/01/2034",,,"09/01/2034","02/23/2036",,,,"Not Applicable",,,,"105","104","99","0","0","0","0","0","0","0","0","0","104","0","0","0","0","0","0","0","0","0","0","104","0","0","0","0","0","0","0","0","0","37.71356453","-122.3842085","(37.71356453, -122.3842085)"
"2017-030","2670 Geary","Pre-Construction","(3) Design with Entitlements Approved","2670 Geary Blvd","94118","1071","3","2","Presidio Heights","Presidio Heights","MOHCD","Inclusionary Housing","Inclusionary Housing Program",,"Not in an OCII Project Area","New Construction","Rental",,,,,,"12/01/2026","RG Architecture",,,"2014-002181PRJ","2014-002181CUA,2014-002181ENV,2014-002181PPA,2014-002181TDM,2014-002181VAR","11/30/2017","On-site BMR Project","95","22","23","0","15","0","7","0","0","0","0","22","0","0","0","0","0","0","0","0","0","0","22","0","0","0","0","0","0","0","0","0","0","37.78285255","-122.4474119","(37.78285255, -122.4474119)"
"2023-006","3300 Mission","Construction","(5) First Construction Document Issued","3300 Mission St","94110","6635","1","9","Bernal Heights","Bernal Heights","MOHCD","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"Not in an OCII Project Area","New Construction","Rental","06/15/2023","11/20/2024","03/25/2024",,"11/06/2024",,"Bernal Heights Neighborhood Center","Tabernacle Community Development Corporation",,,,,,"35","34","97","0","34","0","0","0","0","0","6","34","0","0","0","0","0","0","0","11","0","0","15","0","8","0","0","0","0","0","0","0","0","37.74389033","-122.4212384","(37.74389033, -122.4212384)"
"2023-012","1500 15th St","Pre-Construction","(3) Design with Entitlements Approved","1500 15th St","94103","3548","016, 018","9","Mission","Mission","MOHCD","Inclusionary Housing","Inclusionary Housing Program",,"Not in an OCII Project Area","New Construction","Rental",,,,,"01/24/2025",,"Chris Elsey",,,"2016-011827PRJ","2016-011827PRJ, 2016-011827ENV, 2016-011827ENX,","01/26/2023","On-site BMR Project; Fee Payment","189","32","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","0","0","7","0","0","0","6","0","0","0","0","37.76700068","-122.4179228","(37.76700068, -122.4179228)"
"1989-012","El Dorado","Building Rehabilitation (Construction)","(5) First Construction Document Issued","150 9th St","94103",,,"6","South of Market","South of Market","MOHCD/SFRA","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"Not in an OCII Project Area","Rehabilitation","Rental","08/29/1990","05/02/2024","04/03/2024","05/07/2024","05/02/2024","03/06/2026","Conard House, Inc.",,"Conard House, Inc.",,,,,"0","62","0","39","23","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","62","0","0","0","0","0","0","0","0","0","0","0","37.77536957","-122.4140325","(37.77536957, -122.4140325)"
"2017-018","519 Ellis","Pre-Construction","(3) Design with Entitlements Approved","519 Ellis St","94109","334","028, 028A","5","Tenderloin","Downtown/Civic Center","MOHCD","Inclusionary Housing","Inclusionary Housing Program",,"Not in an OCII Project Area","New Construction","Ownership",,,,,,,"Reuben, Junius & Rose, LLP",,,"2018-008501PRJ",,"06/13/2018","On-site BMR Project","21","3","14","0","3","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","37.78448846","-122.4148523","(37.78448846, -122.4148523)"
"2021-009","2800 Geary","Pre-Construction","(3) Design with Entitlements Approved","2800 Geary Blvd","94118","1069","13","2","Presidio Heights","Presidio Heights","MOHCD","Inclusionary Housing","Inclusionary Housing Program",,"Not in an OCII Project Area","New Construction","Ownership",,,,,,,"Elevation Architects",,,"2019-023105PRJ",,"06/17/2021","On-site BMR Project","42","13","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","4","0","0","4","0","0","37.78255552","-122.449372","(37.78255552, -122.449372)"
"2019-035","344 14th St","Construction","(4) Site Work Permit Issued","344 14th St","94103","3532","13","9","Mission","Mission","MOHCD","Inclusionary Housing","Inclusionary Housing Program",,"Not in an OCII Project Area","New Construction","Rental",,,"05/09/2022",,,,"SF AEC14 LLC",,,"2014.0948",,"07/25/2019","On-site BMR Project; Fee Payment","62","8","13","0","1","2","5","0","0","0","0","8","0","0","0","0","0","0","0","0","0","5","0","0","1","0","0","0","2","0","0","0","0","37.76845891","-122.4210556","(37.76845891, -122.4210556)"
"2015-033d","Sunnydale Block 7","Construction","(5) First Construction Document Issued","65 Santos St","94134","6311","11","10","Visitacion Valley","Visitacion Valley","MOHCD","MOHCD 100% Affordable (New Development)","HOPE SF","Sunnydale HOPE SF","Not in an OCII Project Area","New Construction","Rental",,"07/18/2025","06/11/2024","06/27/2025","07/18/2025",,"Mercy Housing CA","Related California",,"2010.0305PHA-05",,"03/03/2017",,"89","88","99","0","0","14","42","23","9","0","14","88","0","0","0","0","0","0","0","28","0","44","0","12","4","0","0","0","0","0","0","0","0","37.71150477","-122.4185048","(37.71150477, -122.4185048)"
"2016-089","Transbay Block 2 East (Family)","Construction","(5) First Construction Document Issued","Address not yet assigned","94105",,,"6","Financial District/South Beach","South of Market","OCII","MOHCD 100% Affordable (New Development)","Multifamily Rental Program","Transbay","Transbay","New Construction","Rental",,"05/11/2024","11/17/2023","06/07/2024","05/11/2024","04/28/2026","Mercy Housing CA",,"Mercy Housing CA","Not Applicable",,"11/01/2022",,"184","182","99","0","17","75","53","37","0","0","28","142","0","0","40","0","40","0","0","32","14","32","0","68","36","0","0","0","0","0","0","0","0","37.78940059","-122.3922878","(37.78940059, -122.3922878)"
"2015-068","1298 Valencia","Construction","(4) Site Work Permit Issued","1298 Valencia St","94110","3633","21","9","Mission","Mission","MOHCD","Inclusionary Housing","Inclusionary Housing Program",,"Not in an OCII Project Area","New Construction","Ownership",,,"01/02/2019",,,,"Ian Birchall",,,"2013.1404",,"08/31/2017","On-site BMR Project; Fee Payment","35","1","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","37.75230964","-122.4209703","(37.75230964, -122.4209703)"
"2020-030","955 Post","Pre-Construction","(3) Design with Entitlements Approved","955 Post St","94109","302","21","3","Tenderloin","Downtown/Civic Center","MOHCD","Inclusionary Housing","Inclusionary Housing Program",,"Not in an OCII Project Area","New Construction","Rental",,,,,,,"Reuben, Junius & Rose, LLP",,,"2015-015950PRJ",,"11/19/2020","On-site BMR Project","69","17","25","0","0","6","9","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","3","0","0","0","4","0","0","0","0","37.78683277","-122.417573","(37.78683277, -122.417573)"
"2018-001","1965 Market","Construction","(4) Site Work Permit Issued","1965 Market St","94103","3534","58","8","Mission","Mission","MOHCD","Inclusionary Housing","Inclusionary Housing Program",,"Not in an OCII Project Area","New Construction","Ownership",,,"07/11/2019",,,,"Keller Grover Properties",,,"2015-002825PRJ","2015-002825CUA,2015-002825ENV,2015-002825PPA","01/18/2018","On-site BMR Project","96","14","15","0","0","8","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","37.76947173","-122.4260741","(37.76947173, -122.4260741)"
"2016-092","HPSY I, Block 48 (OCII 2)","Pre-Construction","(0) Multiphase Project before Predevelopment","Multiphase Project Address not Assigned","94124","4591D","094, 095, 096","10","Bayview Hunters Point","Bayview","OCII","MOHCD 100% Affordable (New Development)","Multifamily Rental Program","Hunters Point Ship Yard I","HP Shipyard Phase 1","New Construction","Rental",,"12/31/2028",,,"12/31/2028","12/31/2030","Multiphase Project Sponsor not Assigned","Multiphase Project Sponsor not Assigned","Multiphase Project Owner not Assigned","Not Applicable",,,,"70","69","99","0","0","0","0","0","0","0","0","18","0","0","0","0","0","0","0","0","0","69","0","0","0","0","0","0","0","0","0","0","0","37.7282288","-122.3790841","(37.7282288, -122.3790841)"
"2017-007","1228 Folsom","Pre-Construction","(3) Design with Entitlements Approved","1228 Folsom St","94103","3729","11","6","South of Market","South of Market","MOHCD","Inclusionary Housing","Inclusionary Housing Program",,"Not in an OCII Project Area","New Construction","Ownership",,,,,,,"RG Architecture",,,"2014.0964","2014.0964ENV,2014.0964ENX,2014.0964GEN-02,2014.0964PPA,2014.0964U,2014.0964VAR","01/05/2017","On-site BMR Project","24","3","13","0","0","2","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","37.77473165","-122.4108022","(37.77473165, -122.4108022)"
"2019-025","3945 Judah St","Construction","(5) First Construction Document Issued","3945 Judah St","94122","1809","23","4","Sunset/Parkside","Outer Sunset","MOHCD","Inclusionary Housing","Inclusionary Housing Program",,"Not in an OCII Project Area","New Construction","Rental",,,"10/27/2021","05/11/2023",,"02/01/2026","Leavitt Architecture, Inc.",,,"2018-000468PRJ",,"11/07/2019","On-site BMR Project","20","5","25","0","0","3","2","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","1","0","0","0","0","37.76030616","-122.5045168","(37.76030616, -122.5045168)"
"2015-006d","SFCLT Scattered Sites - 4042 Fulton","Building Rehabilitation (Construction)","(5) First Construction Document Issued","4042-4048 Fulton St","94118","3726","63","1","Outer Richmond","Inner Richmond","MOHCD","MOHCD 100% Affordable (Preservation)","Small Sites Program","SFCLT Scattered Sites","Not in an OCII Project Area","Rehabilitation","Rental","03/29/2017","08/15/2024","04/29/2024",,"08/15/2024","01/31/2026","San Francisco Community Land Trust",,"San Francisco Community Land Trust","Not Applicable",,,,"6","6","100","0","1","2","3","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","37.77315331","-122.4752924","(37.77315331, -122.4752924)"
"2016-079","Casa Adelante - 1515 South Van Ness","Construction","(5) First Construction Document Issued","1515 South Van Ness Ave","94110","6571","53","9","Mission","Mission","MOHCD","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"Not in an OCII Project Area","New Construction","Rental","08/28/2019","02/14/2025","06/20/2024","06/20/2024","02/14/2025","03/12/2027","Chinatown Community Development Center","Mission Economic Development Agency","Casa Adelante SVN Housing, L.P.","2023-003263PRJ","2014.1020CUA,2014.1020ENV,2014.1020U","08/11/2016",,"168","167","99","0","15","32","76","44","0","0","27","120","0","0","42","0","42","0","0","40","19","15","0","0","93","0","0","0","0","0","0","0","0","37.74890199","-122.4153867","(37.74890199, -122.4153867)"
"2023-009","249 Pennsylvania Family","Pre-Construction","(2) Predevelopment Feasibility","249 Pennsylvania Ave","94107","3999","15","10","Potrero Hill","Potrero Hill","MOHCD","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"Not in an OCII Project Area","New Construction","Rental","10/11/2023","04/12/2027",,,"04/12/2027","02/12/2029","Tenderloin Neighborhood Development Corporation (TNDC)","Young Community Developers","249 Pennsylvania Associates, LP","2025-011975PRJ","SB 330, AB2162",,,"124","124","100","0","38","15","36","35","0","0","12","123","0","0","32","0","32","0","0","37","0","0","0","63","23","0","0","0","0","0","0","0","0","37.76332479","-122.3934732","(37.76332479, -122.3934732)"
"2023-036","530-540 Turk St","Pre-Construction","(3) Design with Entitlements Approved","530-540 Turk St","94102","741","3","5","Tenderloin","Downtown/Civic Center","MOHCD","Inclusionary Housing","Inclusionary Housing Program",,"Not in an OCII Project Area","New Construction","Ownership",,,,,"12/05/2025",,"JS Sullivan Development",,,,,"12/07/2023","On-site BMR Project; Fee Payment","88","13","15","0","2","8","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","3","0","0","2","0","0","37.78257708","-122.4180083","(37.78257708, -122.4180083)"
"2023-014","4550-4570 Mission St","Pre-Construction","(3) Design with Entitlements Approved","4550-4570 Mission St","94112","3148","1","11","Outer Mission","Outer Mission","MOHCD","Inclusionary Housing","Inclusionary Housing Program",,"Not in an OCII Project Area","New Construction","Rental",,,,,"03/21/2025",,"Schaub Ly Architects",,,"2012-000438PRJ",,"03/23/2023","On-site BMR Project","69","17","25","0","0","9","6","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","5","0","0","0","5","0","0","0","0","37.72512835","-122.4347839","(37.72512835, -122.4347839)"
"2021-026","560 Brannan","Pre-Construction","(3) Design with Entitlements Approved","560 Brannan St","94107","3777","44","6","South of Market","South of Market","MOHCD","Inclusionary Housing","Inclusionary Housing Program",,"Not in an OCII Project Area","New Construction","Rental",,,,,,,"560 Brannan Street, LLC",,"560 Brannan Street, LLC","2019-013276PRJ","2019-013276PRJ, 2019-013276ENV, 2019-013276ENX,","11/18/2021","On-site BMR Project; Fee Payment","120","18","15","0","10","1","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","4","0","0","0","4","0","0","0","0","37.77747873","-122.3981386","(37.77747873, -122.3981386)"
"2016-119","2338 19th Ave","Pre-Construction","(3) Design with Entitlements Approved","2350 19th Ave","94107","2347","35","7","West of Twin Peaks","Parkside","MOHCD","Inclusionary Housing","Inclusionary Housing Program",,"Not in an OCII Project Area","New Construction","Ownership",,,"07/10/2014","08/23/2017",,,"2350 19th Avenue Assoc. LLC",,,"2007.0178",,"07/08/2016","Fee Payment","10","1","10","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","37.7439668","-122.4753509","(37.7439668, -122.4753509)"
"2017-020","1726-1730 Mission","Construction","(4) Site Work Permit Issued","1726 Mission St","94103","3532","004A","9","Mission","Mission","MOHCD","Inclusionary Housing","Inclusionary Housing Program",,"Not in an OCII Project Area","New Construction","Ownership",,,"07/31/2018",,,,"Reuben, Junius & Rose, LLP",,,"2014-002026PRJ","2014-002026ENV,2014-002026ENX,2014-002026PPA","06/01/2017","On-site BMR Project","40","7","18","0","0","4","3","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","37.7694661","-122.4203944","(37.7694661, -122.4203944)"
"2016-002","HPSY II-CPN, Block 10A","Pre-Construction","(3) Design with Entitlements Approved","Address not yet assigned","94124",,,"10","Bayview Hunters Point","Bayview","OCII","MOHCD 100% Affordable (New Development)","Multifamily Rental Program","Hunters Point Ship Yard II/Candlestick Point","Candlestick Point","New Construction","Rental",,"06/01/2032",,,"06/01/2032",,"Tenderloin Neighborhood Development Corporation (TNDC)","Young Community Developers","Candlestick 10a Associates, LP","Not Applicable",,"12/05/2017",,"156","155","99","0","0","49","14","88","3","1","32","150","0","5","35","0","0","0","0","0","0","0","0","155","0","0","0","0","0","0","0","0","0","37.71485911","-122.3845556","(37.71485911, -122.3845556)"
"2025-001","Transbay Block 4W (Senior)","Pre-Construction","(0) Multiphase Project before Predevelopment","Multiphase Project Address not Assigned","94105",,,"6","Financial District/South Beach","Financial District","MOHCD/OCII","MOHCD 100% Affordable (New Development)","Multifamily Rental Program","Transbay","Transbay","New Construction","Rental",,,,,"01/01/2028",,"Multiphase Project Sponsor not Assigned","Multiphase Project Sponsor not Assigned","Multiphase Project Owner not Assigned",,,,,"125","124","99","0","0","0","0","0","0","0","0","0","124","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","124","37.78958731","-122.3929886","(37.78958731, -122.3929886)"
"2024-001","2970 16th Street Permanent Supportive Housing","Construction","(5) First Construction Document Issued","2970 16th St","94103",,,"9","Mission","Mission","MOHCD","MOHCD 100% Affordable (New Development)","Multifamily Rental Program","1979 Mission Family/PSH","Not in an OCII Project Area","New Construction","Rental",,"12/12/2025","12/16/2025",,"12/12/2025",,"Mission Housing Development Corporation","Mission Economic Development Agency",,"2025-002304PRJ",,"05/27/2025",,"136","136","100","0","89","47","0","0","0","0","0","0","0","0","136","0","136","0","14","61","0","61","0","0","0","0","0","0","0","0","0","0","0","37.7652718","-122.4189407","(37.7652718, -122.4189407)"
"2020-040","725 Jamestown","Pre-Construction","(3) Design with Entitlements Approved","725 Jamestown Ave","94124","4991","276","10","Bayview Hunters Point","Bayview","MOHCD","Inclusionary Housing","Inclusionary Housing Program",,"Not in an OCII Project Area","New Construction","Ownership",,,,,,,"J. Abrams Law, PC",,,"2019-002743PRJ","2019-002743PPA, 2019-002743CRV","07/24/2020","On-site BMR Project; Fee Payment","122","22","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","37.71516937","-122.3893818","(37.71516937, -122.3893818)"
"2011-036","Parkmerced - Subsequent Phases","Pre-Construction","(3) Design with Entitlements Approved","3711 19th Ave","94132",,,"7","Lakeshore","Lakeshore","MOHCD","Inclusionary Housing","Inclusionary Housing Program","Parkmerced","Not in an OCII Project Area","New Construction","Rental",,,,,,,"Maximus",,,"2008.0021","2008.0021C,2008.0021E,2008.0021E_11,2008.0021E_3,2008.0021E_5,2008.0021E_7,2008.0021E_9,2008.0021K,2008.0021M,2008.0021P,2008.0021T,2008.0021U,2008.0021U_3,2008.0021W,2008.0021Z","02/10/2011","On-site BMR Project; Fee Payment","3,522","176","5","0","0","0","0","0","0","0","0","176","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","176","37.71818666","-122.4789874","(37.71818666, -122.4789874)"
"2016-081","Block 48, Phase 1 (Blocks A, B, F, G, J)","Construction","(5) First Construction Document Issued","898 La Salle Ave","94124",,,"10","Bayview Hunters Point","Bayview","OCII","Other Ownership Programs","Limited Equity Program",,"HP Shipyard Phase 1","New Construction","Ownership",,"07/01/2025","09/12/2017","09/12/2017","07/01/2025","03/01/2029",,,,"Not Applicable",,"03/03/2015",,"174","25","14","0","0","9","15","1","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","22","0","0","0","0","3","0","0","0","37.72900117","-122.3779503","(37.72900117, -122.3779503)"
"2024-006","1633 Valencia","Construction","(5) First Construction Document Issued","1633 Valencia St","94110","6574","71","9","Bernal Heights","Bernal Heights","MOHCD","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"Not in an OCII Project Area","New Construction","Rental","05/17/2024","05/20/2024","05/20/2024",,"05/20/2024",,"Mercy Housing CA",,"Mercy Housing CA 108, LP","2022-012441PRJ",,"07/28/2023",,"146","145","99","0","145","0","1","0","0","0","22","0","145","0","145","0","145","0","0","0","0","145","0","0","0","0","0","0","0","0","0","0","0","37.7476746","-122.4199489","(37.7476746, -122.4199489)"
"2022-005","1101-1123 Sutter","Construction","(5) First Construction Document Issued","1101-1123 Sutter St","94109","692","1","3","Nob Hill","Downtown/Civic Center","MOHCD","Inclusionary Housing","Inclusionary Housing Program",,"Not in an OCII Project Area","New Construction","Rental",,,,,"03/22/2024",,"Julie Heinzler",,"1101 Sutter Affordable, LP","2019-022850PRJ","2019-022850CUA, 2019-022850CUA-02","03/24/2022","On-site BMR Project; Fee Payment","303","101","33","0","8","8","43","31","11","0","0","0","0","0","0","0","0","0","0","11","0","79","0","0","11","0","0","0","0","0","0","0","0","37.78767258","-122.4186547","(37.78767258, -122.4186547)"
"2019-007","400-444 Divisadero St; 1048-1062 Oak St","Pre-Construction","(3) Design with Entitlements Approved","400 Divisadero St","94117","1216","004, 017","5","Hayes Valley","Western Addition","MOHCD","Inclusionary Housing","Inclusionary Housing Program",,"Not in an OCII Project Area","New Construction","Rental",,,,,,,"Genesis CA Development LLC",,,"2015-007816PRJ",,"05/23/2019","On-site BMR Project","184","37","20","0","18","4","15","0","0","0","0","37","0","0","0","0","0","0","0","0","0","0","23","0","7","0","0","0","7","0","0","0","0","37.77343711","-122.4370783","(37.77343711, -122.4370783)"
"2019-002","820 Post St","Pre-Construction","(3) Design with Entitlements Approved","820 Post St","94109","300","003C","3","Nob Hill","Downtown/Civic Center","MOHCD","Inclusionary Housing","Inclusionary Housing Program",,"Not in an OCII Project Area","New Construction","Ownership",,,,,,,"Elevation Architects",,,"2016-015997PRJ",,"02/21/2019","On-site BMR Project","12","1","8","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","37.78757568","-122.415398","(37.78757568, -122.415398)"
