"Project ID","Project Name","Project Status","Construction Status","Plannning Approval Address","Zip Code","Block","Lot","Supervisor District","City Analysis Neighborhood","Planning Neighborhood","Lead Agency","General Housing Program","Specific Program Area","Multiphase or Multisite Project Name","Redevelopment Project Area","Project Type","Housing Tenure","SSP Acquisition Date","Issuance of Notice to Proceed Date","Issuance of Building Permit Date","Issuance of First Construction Document Date","Estimated/Actual Construction Start Date","Estimated Construction Completion Date","Project Lead Sponsor","Project Co-Sponsor","Project Owner","Planning  Case Number","Planning Entitlements","Entitlement Approval Date","Section 415 Declaration","Total Project Units","MOHCD Affordable Units","% Affordable","SRO Units","Studio Units","1bd Units","2bd Units","3bd Units","4bd Units","5+ bd Units","Mobility Units","Family Units","Senior Units","TAY Units","Homeless Units","Disabled Units","LOSP Units","Public Housing Replacement Units","20% AMI","30% AMI","40% AMi","50% AMI","55% AMI","60% AMI","80% AMI","90% AMI","100% AMI","105% AMI","110% AMI","120% AMI","130% AMI","150% AMI","AMI Undeclared","Latitude","Longitude","Location"
"1982-007","Sierra Madre Apartments","Building Rehabilitation (Construction)","(5) First Construction Document Issued","421 Leavenworth St","94102",,,"5","Tenderloin","Downtown/Civic Center","MOHCD","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"Not in an OCII Project Area","Rehabilitation","Rental",,"03/26/2025","03/31/2005",,"03/26/2025","09/01/2026","Tenderloin Neighborhood Development Corporation (TNDC)",,,,,,,"47","46","98","0","0","0","0","0","0","0","5","26","20","0","1","0","0","0","0","0","26","0","0","16","4","0","0","0","0","0","0","0","0","37.78499132","-122.4146466","(37.78499132, -122.4146466)"
"2023-032","Treasure Island Parcel C3.5","Pre-Construction","(0) Multiphase Project before Predevelopment","Multiphase Project Address not Assigned","94130",,,"6","Treasure Island","Treasure Island/YBI","MOHCD","Inclusionary Housing","Inclusionary Housing Program","Treasure Island","Not in an OCII Project Area","New Construction","Ownership",,,,,,,"Multiphase Project Sponsor not Assigned","Multiphase Project Sponsor not Assigned","Multiphase Project Owner not Assigned",,,,"On-site BMR Project","160","8","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","37.81967853","-122.3735654","(37.81967853, -122.3735654)"
"2020-011","160 Freelon (Land Dedication Site)","Construction","(5) First Construction Document Issued","160 Freelon St","94107","3777","52","6","South of Market","South of Market","MOHCD","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"Not in an OCII Project Area","New Construction","Rental",,"06/24/2025","05/13/2024","06/09/2025","06/26/2025",,"Related California","San Francisco Housing Development Corporation",,"2022-008873PRJ",,"02/09/2023",,"85","84","99","0","15","24","22","23","0","0","13","57","0","0","22","0","22","0","0","0","0","27","0","25","32","0","0","0","0","0","0","0","0","37.77794636","-122.3982463","(37.77794636, -122.3982463)"
"2023-008","250 Laguna Honda","Pre-Construction","(2) Predevelopment Feasibility","250 Laguna Honda Blvd","94116","2819","51","7","West of Twin Peaks","West of Twin Peaks","MOHCD","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"Not in an OCII Project Area","New Construction","Rental","04/11/2024",,,,"10/02/2030","07/01/2028","Mission Housing Development Corporation",,"Mission Housing Development Corporation","2025-005115PRJ",,"10/03/2025",,"172","171","99","0","0","35","99","37","0","0","8","170","0","0","43","0","43","0","0","35","0","136","0","0","0","0","0","0","0","0","0","0","0","37.74986305","-122.4610468","(37.74986305, -122.4610468)"
"2020-034","30 Van Ness","Construction","(4) Site Work Permit Issued","30 Van Ness Ave","94102","835","4","6","Tenderloin","Downtown/Civic Center","MOHCD","Inclusionary Housing","Inclusionary Housing Program",,"Not in an OCII Project Area","New Construction","Ownership",,,"08/25/2021","03/16/2023",,,"Lendlease",,,"2017-008051PRJ",,,"On-site BMR Project","333","83","25","0","7","24","40","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33","0","0","17","0","0","33","0","0","37.77600521","-122.4191576","(37.77600521, -122.4191576)"
"2019-039","811 Valencia","Construction","(5) First Construction Document Issued","811 Valencia St","94110","3596","99","9","Mission","Mission","MOHCD","Inclusionary Housing","Inclusionary Housing Program",,"Not in an OCII Project Area","New Construction","Rental",,,,,,,"Reuben, Junius & Rose, LLP",,"811 Valencia LLC",,,,"On-site BMR Project","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","37.75983206","-122.4210578","(37.75983206, -122.4210578)"
"2016-073","1740 Market","Construction","(4) Site Work Permit Issued","1740 Market St","94102","855","10","6","Hayes Valley","Western Addition","MOHCD","Inclusionary Housing","Inclusionary Housing Program",,"Not in an OCII Project Area","New Construction","Rental",,,"12/05/2018",,,,"Warner Schmalz",,,"2014.0409","2014.0409CUA,2014.0409ENV,2014.0409PPA,2014.0409U,2014.0409VAR","07/28/2016","On-site BMR Project","100","12","12","0","1","5","4","2","0","0","0","12","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","37.77254418","-122.4230863","(37.77254418, -122.4230863)"
"2025-004","3900 Third Street","Building Rehabilitation (Construction)","(5) First Construction Document Issued","3900 3rd St","94124","5242","21","10","Bayview Hunters Point","Bayview","MOHCD","MOHCD 100% Affordable (Preservation)","Supportive Living Preservation Program",,"Not in an OCII Project Area","Rehabilitation","Rental","09/25/2024",,"07/01/2025",,"02/04/2025","01/20/2026","Third Street Youth Center & Clinic",,"Third Street Youth Center & Clinic",,,,,"20","20","100","20","0","0","0","0","0","0","0","0","0","20","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","37.74191119","-122.3885049","(37.74191119, -122.3885049)"
"2023-010","1234 Great Highway","Pre-Construction","(2) Predevelopment Feasibility","1234 Great Highway","94122","1701","6","4","Sunset/Parkside","Outer Sunset","MOHCD","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"Not in an OCII Project Area","New Construction","Rental",,"11/01/2027",,,"11/01/2027",,"Tenderloin Neighborhood Development Corporation (TNDC)","Self Help For The Elderly",,,,,,"199","197","99","0","88","105","4","0","0","0","0","0","197","0","99","0","99","0","20","0","0","177","0","0","0","0","0","0","0","0","0","0","0","37.76309","-122.509504","(37.76309, -122.509504)"
"2022-010","2955 Mission","Pre-Construction","(3) Design with Entitlements Approved","2955 Mission St","94110","6528","25","9","Mission","Mission","MOHCD","Inclusionary Housing","Inclusionary Housing Program",,"Not in an OCII Project Area","New Construction","Ownership",,,,,"06/07/2024",,"Sternberg Benjamin Architects",,,"2019-023083PRJ","2019-023083CUA, 2019-023083ENV,","06/09/2022","On-site BMR Project; Fee Payment","18","18","100","0","6","4","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","37.74981562","-122.4178328","(37.74981562, -122.4178328)"
