"GEO_ID","NAME","B17001_001E","B17001_001M","B17001_002E","B17001_002M","B17001_003E","B17001_003M","B17001_004E","B17001_004M","B17001_005E","B17001_005M","B17001_006E","B17001_006M","B17001_007E","B17001_007M","B17001_008E","B17001_008M","B17001_009E","B17001_009M","B17001_010E","B17001_010M","B17001_011E","B17001_011M","B17001_012E","B17001_012M","B17001_013E","B17001_013M","B17001_014E","B17001_014M","B17001_015E","B17001_015M","B17001_016E","B17001_016M","B17001_017E","B17001_017M","B17001_018E","B17001_018M","B17001_019E","B17001_019M","B17001_020E","B17001_020M","B17001_021E","B17001_021M","B17001_022E","B17001_022M","B17001_023E","B17001_023M","B17001_024E","B17001_024M","B17001_025E","B17001_025M","B17001_026E","B17001_026M","B17001_027E","B17001_027M","B17001_028E","B17001_028M","B17001_029E","B17001_029M","B17001_030E","B17001_030M","B17001_031E","B17001_031M","B17001_032E","B17001_032M","B17001_033E","B17001_033M","B17001_034E","B17001_034M","B17001_035E","B17001_035M","B17001_036E","B17001_036M","B17001_037E","B17001_037M","B17001_038E","B17001_038M","B17001_039E","B17001_039M","B17001_040E","B17001_040M","B17001_041E","B17001_041M","B17001_042E","B17001_042M","B17001_043E","B17001_043M","B17001_044E","B17001_044M","B17001_045E","B17001_045M","B17001_046E","B17001_046M","B17001_047E","B17001_047M","B17001_048E","B17001_048M","B17001_049E","B17001_049M","B17001_050E","B17001_050M","B17001_051E","B17001_051M","B17001_052E","B17001_052M","B17001_053E","B17001_053M","B17001_054E","B17001_054M","B17001_055E","B17001_055M","B17001_056E","B17001_056M","B17001_057E","B17001_057M","B17001_058E","B17001_058M","B17001_059E","B17001_059M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Income in the past 12 months below poverty level","Margin of Error!!Total!!Income in the past 12 months below poverty level","Estimate!!Total!!Income in the past 12 months below poverty level!!Male","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Male","Estimate!!Total!!Income in the past 12 months below poverty level!!Male!!Under 5 years","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Male!!Under 5 years","Estimate!!Total!!Income in the past 12 months below poverty level!!Male!!5 years","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Male!!5 years","Estimate!!Total!!Income in the past 12 months below poverty level!!Male!!6 to 11 years","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Male!!6 to 11 years","Estimate!!Total!!Income in the past 12 months below poverty level!!Male!!12 to 14 years","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Male!!12 to 14 years","Estimate!!Total!!Income in the past 12 months below poverty level!!Male!!15 years","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Male!!15 years","Estimate!!Total!!Income in the past 12 months below poverty level!!Male!!16 and 17 years","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Male!!16 and 17 years","Estimate!!Total!!Income in the past 12 months below poverty level!!Male!!18 to 24 years","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Male!!18 to 24 years","Estimate!!Total!!Income in the past 12 months below poverty level!!Male!!25 to 34 years","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Male!!25 to 34 years","Estimate!!Total!!Income in the past 12 months below poverty level!!Male!!35 to 44 years","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Male!!35 to 44 years","Estimate!!Total!!Income in the past 12 months below poverty level!!Male!!45 to 54 years","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Male!!45 to 54 years","Estimate!!Total!!Income in the past 12 months below poverty level!!Male!!55 to 64 years","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Male!!55 to 64 years","Estimate!!Total!!Income in the past 12 months below poverty level!!Male!!65 to 74 years","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Male!!65 to 74 years","Estimate!!Total!!Income in the past 12 months below poverty level!!Male!!75 years and over","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Male!!75 years and over","Estimate!!Total!!Income in the past 12 months below poverty level!!Female","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Female","Estimate!!Total!!Income in the past 12 months below poverty level!!Female!!Under 5 years","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Female!!Under 5 years","Estimate!!Total!!Income in the past 12 months below poverty level!!Female!!5 years","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Female!!5 years","Estimate!!Total!!Income in the past 12 months below poverty level!!Female!!6 to 11 years","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Female!!6 to 11 years","Estimate!!Total!!Income in the past 12 months below poverty level!!Female!!12 to 14 years","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Female!!12 to 14 years","Estimate!!Total!!Income in the past 12 months below poverty level!!Female!!15 years","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Female!!15 years","Estimate!!Total!!Income in the past 12 months below poverty level!!Female!!16 and 17 years","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Female!!16 and 17 years","Estimate!!Total!!Income in the past 12 months below poverty level!!Female!!18 to 24 years","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Female!!18 to 24 years","Estimate!!Total!!Income in the past 12 months below poverty level!!Female!!25 to 34 years","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Female!!25 to 34 years","Estimate!!Total!!Income in the past 12 months below poverty level!!Female!!35 to 44 years","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Female!!35 to 44 years","Estimate!!Total!!Income in the past 12 months below poverty level!!Female!!45 to 54 years","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Female!!45 to 54 years","Estimate!!Total!!Income in the past 12 months below poverty level!!Female!!55 to 64 years","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Female!!55 to 64 years","Estimate!!Total!!Income in the past 12 months below poverty level!!Female!!65 to 74 years","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Female!!65 to 74 years","Estimate!!Total!!Income in the past 12 months below poverty level!!Female!!75 years and over","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Female!!75 years and over","Estimate!!Total!!Income in the past 12 months at or above poverty level","Margin of Error!!Total!!Income in the past 12 months at or above poverty level","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Male","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Male","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Male!!Under 5 years","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Male!!Under 5 years","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Male!!5 years","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Male!!5 years","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Male!!6 to 11 years","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Male!!6 to 11 years","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Male!!12 to 14 years","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Male!!12 to 14 years","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Male!!15 years","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Male!!15 years","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Male!!16 and 17 years","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Male!!16 and 17 years","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Male!!18 to 24 years","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Male!!18 to 24 years","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Male!!25 to 34 years","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Male!!25 to 34 years","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Male!!35 to 44 years","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Male!!35 to 44 years","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Male!!45 to 54 years","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Male!!45 to 54 years","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Male!!55 to 64 years","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Male!!55 to 64 years","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Male!!65 to 74 years","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Male!!65 to 74 years","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Male!!75 years and over","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Male!!75 years and over","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Female","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Female","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Female!!Under 5 years","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Female!!Under 5 years","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Female!!5 years","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Female!!5 years","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Female!!6 to 11 years","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Female!!6 to 11 years","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Female!!12 to 14 years","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Female!!12 to 14 years","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Female!!15 years","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Female!!15 years","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Female!!16 and 17 years","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Female!!16 and 17 years","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Female!!18 to 24 years","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Female!!18 to 24 years","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Female!!25 to 34 years","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Female!!25 to 34 years","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Female!!35 to 44 years","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Female!!35 to 44 years","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Female!!45 to 54 years","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Female!!45 to 54 years","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Female!!55 to 64 years","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Female!!55 to 64 years","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Female!!65 to 74 years","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Female!!65 to 74 years","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Female!!75 years and over","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Female!!75 years and over",
"1600000US0667000","San Francisco city, California","804936","939","108306","3585","51185","1969","1882","331","272","86","2270","385","947","234","479","209","1182","268","9044","825","8837","869","6571","700","7438","575","6217","494","3283","320","2763","393","57121","2279","1927","366","399","131","2088","328","1219","331","673","176","1096","257","10786","789","9856","784","6244","598","6095","527","6449","525","3878","407","6411","522","696630","3708","357988","2120","16563","354","2381","313","14952","595","6911","534","2061","222","4899","340","22871","884","80371","868","66581","699","53448","615","44013","518","23569","310","19368","420","338642","2368","15672","378","2645","348","13981","621","6514","508","2114","235","4438","359","23078","876","75778","789","55539","594","44933","533","41943","500","25849","415","26158","504",
